track_id	object_type	utw1_x	utw1_y	utw1_z	utw2 x	utw2 y	utw2_z	uXw_x	uXw_y	uXw_z
24	Car	102.275421	-26.900400	0.051114	109.637627	-28.863420	0.066323	123.162262	-41.446983	-0.438885
32	Car	107.525047	-28.304663	0.066323	114.951241	-30.245209	0.072013	127.293617	-41.315456	-0.523011
35	Car	110.683456	-29.146156	0.067993	120.218948	-31.602755	0.091751	132.401337	-38.082951	-0.842153
36	Car	119.168854	-31.329973	0.091245	126.502014	-33.230610	0.133386	140.459961	-31.342930	-0.865064
37	Car	120.746346	-31.736897	0.098517	130.118042	-34.192616	0.135655	141.638611	-40.720497	-0.876208
39	Car	124.421471	-32.690998	0.122202	134.711182	-35.410717	0.131296	147.007660	-42.046341	-0.925052
40	Car	129.602814	-34.054390	0.125520	143.553650	-37.775238	0.111875	163.380402	-37.459511	-0.743290
41	Car	127.537102	-33.508488	0.126848	141.645096	-37.256104	0.109895	154.928482	-43.933136	-0.862589
38	Car	125.460289	-32.962231	0.126848	133.693787	-35.139900	0.134060	148.925827	-33.736130	-0.834430
42	Car	136.716919	-35.940948	0.131296	147.323807	-38.821693	0.111366	159.935898	-45.362652	-0.856612
43	Car	138.709930	-36.473251	0.130617	151.004074	-39.837208	0.127585	167.961060	-38.855358	-0.748117
46	Car	149.175186	-39.339935	0.109895	156.209900	-41.324238	0.155835	164.841766	-46.882278	-0.849351
90	Car	161.639038	-42.935940	0.167926	180.622055	-45.751450	0.230906	192.322647	-39.658504	-0.539854
47	Car	162.356628	-43.163464	0.165035	163.054306	-43.368721	0.176750	196.961304	-31.669950	-0.842936
49	Car	167.385574	-44.725163	0.199366	173.797394	-46.882198	0.226575	186.174301	-60.615494	-0.753031
50	Car	167.385574	-44.725163	0.199366	173.797394	-46.882198	0.226575	196.912109	-64.634193	0.880303
52	Car	166.258316	-44.365356	0.189445	169.540634	-45.446484	0.215180	184.833008	-65.648071	-0.827153
54	Car	174.483429	-47.020706	0.230642	179.375961	-47.601234	0.240186	201.366165	-41.225925	-0.619237
55	Car	178.971390	-47.956570	0.241906	183.102829	-46.443462	0.240105	200.230179	-39.133091	-0.588857
57	Car	183.442017	-46.190838	0.238402	188.387634	-39.443459	0.198418	206.091599	-21.788155	-0.507595
91	Car	183.102829	-46.443462	0.240105	186.531601	-42.834785	0.202015	194.712280	-32.492920	-0.931498
63	Car	189.465271	-36.737659	0.198418	197.813278	-10.869062	0.186223	212.438217	15.945881	-0.746822
56	Car	186.856094	-42.338879	0.202015	191.002899	-32.158916	0.195999	199.495453	-17.525082	-0.885412
59	Car	188.662979	-38.804951	0.198418	194.151794	-21.967567	0.196559	196.969025	1.178743	-0.937514
53	Car	186.693848	-42.586830	0.200216	187.324280	-41.520973	0.186490	186.845840	-28.768459	-0.976591
58	Car	189.465271	-36.737659	0.195876	192.800964	-26.354288	0.197163	201.475098	-11.872997	-0.868220
60	Car	188.662979	-38.804951	0.194954	191.002899	-32.158916	0.195876	208.671417	-14.766738	-0.655404
62	Car	189.206299	-37.444893	0.196680	190.740326	-32.975998	0.200192	207.658386	-18.429680	-0.693194
66	Car	192.040009	-28.878769	0.197163	194.424316	-21.074509	0.197526	188.098114	9.846372	-0.937104
61	Car	193.330429	-24.617044	0.196559	197.156418	-12.773190	0.194901	198.874054	6.005623	-0.931757
64	Car	195.611984	-17.457092	0.197526	199.165176	-6.946756	0.183272	200.792877	10.726844	-1.025388
65	Car	195.914703	-16.534369	0.197043	200.572556	-3.017818	0.170411	202.612305	15.237782	-0.984874
67	Car	202.399490	1.946500	0.159603	209.288132	18.882029	0.144303	213.999329	40.636791	-0.929088
75	Car	205.521790	9.880712	0.154529	217.877075	37.625748	0.154529	226.492294	65.477516	-0.824020
68	Car	203.565231	4.944424	0.145896	206.340851	11.867238	0.131704	215.143631	22.153345	-0.934702
69	Car	203.959183	5.918563	0.144220	207.994232	15.881553	0.138295	217.712143	27.758873	-0.855618
70	Car	204.735641	7.906447	0.142645	209.288132	18.882029	0.141182	219.897003	32.586945	-0.874793
72	Car	206.755035	12.874817	0.137083	211.492355	23.919363	0.144588	222.426361	37.935970	-0.865558
71	Car	210.153671	20.927164	0.142645	214.687180	30.874237	0.153266	216.571289	45.911621	-0.922215
73	Car	210.606308	21.923822	0.144303	216.050415	33.776577	0.155065	218.917801	50.761375	-0.919254
74	Car	210.153671	20.927164	0.142645	214.687180	30.874237	0.153266	224.355469	42.448696	-0.828180
76	Car	214.223450	29.882101	0.153606	217.877075	37.625748	0.159215	226.774185	47.328026	-0.848224
77	Car	214.687180	30.874237	0.154494	219.761108	41.428574	0.164444	229.574249	52.425697	-0.834952
78	Car	217.430420	36.691113	0.157126	222.054977	46.017105	0.163290	232.148254	57.433731	-0.853791
79	Car	220.215683	42.340248	0.163290	225.297455	52.203014	0.151039	228.845520	69.906876	-0.822573
80	Car	219.761108	41.428574	0.163290	224.839203	51.344875	0.152006	235.079453	62.463936	-0.843538
85	Car	230.958389	61.980759	0.124131	231.874023	63.482597	0.142651	230.008911	90.863586	-0.675163
